St. John's College (Annapolis)	(410) 263-2371
Marquette University (Milwaukee)	(414) 288-7250
Milwaukee Area Technical College (Milwaukee)	(414) 297-6282
Alverno College (Milwaukee)	(414) 382-6000
Cardinal Stritch University (Milwaukee)	(414) 410-4000
Wisconsin Lutheran College (Milwaukee)	(414) 443-8800
Medical College of Wisconsin (Milwaukee)	(414) 955-8296
City College of San Francisco (San Francisco)	(415) 239-3000
San Francisco State University (San Francisco)	(415) 338-1111
University of San Francisco (San Francisco)	(415) 422-5555
Dominican University of California (San Rafael)	(415) 457-4440
University of California, San Francisco (San Francisco)	(415) 476-6922
San Francisco Art Institute (San Francisco)	(415) 771-7020
Southwest Baptist University (Bolivar)	(417) 328-5281
College of the Ozarks (Point Lookout)	(417) 334-6411
Ozarks Technical Community College (Springfield)	(417) 447-7500
Missouri Southern State University (Joplin)	(417) 625-9300
Missouri State University (Springfield)	(417) 836-5000
Evangel University (Springfield)	(417) 865-2815
Drury University (Springfield)	(417) 873-7879
Ashland University (Ashland)	(419) 289-4142
Bowling Green State University (Bowling Green)	(419) 372-2531
University of Findlay (Findlay)	(419) 422-8313
North Central State College (Mansfield)	(419) 755-4800
Ohio Northern University (Ada)	(419) 772-2000
University of Northwestern Ohio (Lima)	(419) 998-3120
Northeast State Community College (Blountville)	(423) 323-3191
University of Tennessee at Chattanooga (Chattanooga)	(423) 425-4111
East Tennessee State University (Johnson City)	(423) 439-1000
Milligan College	(423) 461-8700
Walters State Community College (Morristown)	(423) 585-2600
Lee University (Cleveland)	(423) 614-8000
Tusculum College (Greeneville)	(423) 636-7300
Bryan College (Dayton)	(423) 775-2041
Lincoln Memorial University (Harrogate)	(423) 869-3611
University of Washington Bothell (Bothell)	(425) 352-5000
Bellevue College (Bellevue)	(425) 564-1000
Northwest University (Kirkland)	(425) 822-8266
Hampden–Sydney College	(434) 223-6000
Sweet Briar College (Sweet Briar)	(434) 381-6100
Longwood University (Farmville)	(434) 395-2000
Lynchburg College (Lynchburg)	(434) 544-8100
Liberty University (Lynchburg)	(434) 582-2000
Averett University (Danville)	(434) 791-5600
Central Virginia Community College (Lynchburg)	(434) 832-7600
University of Virginia (Charlottesville)	(434) 924-0311
Randolph College (Lynchburg)	(434) 947-8000
Piedmont Virginia Community College (Charlottesville)	(434) 977-3900
Snow College (Ephraim)	(435) 283-7000
Southern Utah University (Cedar City)	(435) 586-7700
Utah State University Eastern (Price)	(435) 613-5000
Dixie State University (St. George)	(435) 652-7500
Bridgerland Applied Technology College (Logan)	(435) 753-6780
Utah State University (Logan)	(435) 797-1000
Jon M. Huntsman School of Business (Logan)	(435) 797-2272
Lorain County Community College (Elyria)	(440) 365-5222
Ursuline College (Pepper Pike)	(440) 449-4200
Lakeland Community College (Kirtland)	(440) 525-7000
Oberlin College (Oberlin)	(440) 775-8121
Baldwin Wallace University (Berea)	(440) 826-2900
Harford Community College (Bel Air)	(443) 412-2000
Community College of Baltimore County (Baltimore)	(443) 840-2222
Morgan State University (Baltimore)	(443) 885-3333
Kennesaw State University (Kennesaw)	(470) 578-6000
East Georgia State College (Swainsboro)	(478) 289-2000
Mercer University (Macon)	(478) 301-2700
Georgia College & State University (Milledgeville)	(478) 445-5004
Macon State College (Macon)	(478) 471-2700
Wesleyan College (Macon)	(478) 477-1110
Central Georgia Technical College (Macon)	(478) 757-3400
John Brown University (Siloam Springs)	(479) 524-9500
University of Arkansas (Fayetteville)	(479) 575-2000
Sam M. Walton College of Business	(479) 575-5949
Northwest Arkansas Community College (Bentonville)	(479) 636-9222
University of Arkansas – Fort Smith (Fort Smith)	(479) 788-7000
Arkansas Tech University (Russellville)	(479) 968-0237
University of the Ozarks (Clarksville)	(479) 979-1000
Mesa Community College (Mesa)	(480) 461-7000
Rio Salado College (Tempe)	(480) 517-8000
Arizona State University (Tempe)	(480) 965-2100
Barrett, The Honors College (Tempe)	(480) 965-2359
Muhlenberg College (Allentown)	(484) 664-3100
Harding University (Searcy)	(501) 279-4000
Hendrix College (Conway)	(501) 329-6811
Central Baptist College (Conway)	(501) 329-6872
Philander Smith College (Little Rock)	(501) 375-9845
Arkansas Baptist College (Little Rock)	(501) 420-1200
University of Central Arkansas (Conway)	(501) 450-5000
University of Arkansas at Little Rock (Little Rock)	(501) 569-3000
University of Arkansas for Medical Sciences (Little Rock)	(501) 686-7000
Pulaski Technical College (North Little Rock)	(501) 812-2200
Jefferson Community and Technical College (Louisville)	(502) 213-5333
Bellarmine University (Louisville)	(502) 272-8000
Sullivan University (Louisville)	(502) 456-6504
Spalding University (Louisville)	(502) 585-9911
University of Louisville (Louisville)	(502) 852-5555
Georgetown College (Georgetown)	(502) 863-8000
Southern Baptist Theological Seminary (Louisville)	(502) 897-4011
Pacific Northwest College of Art (Portland)	(503) 226-4391
Concordia University (Portland)	(503) 288-9371
Pacific University (Forest Grove)	(503) 352-6151
Willamette University (Salem)	(503) 370-6300
Chemeketa Community College (Salem)	(503) 399-5000
Mt. Hood Community College (Gresham)	(503) 491-6422
Oregon Health & Science University (Portland)	(503) 494-8311
Warner Pacific College (Portland)	(503) 517-1000
George Fox University (Newberg)	(503) 538-8383
Corban University (Salem)	(503) 581-8600
Clackamas Community College (Oregon City)	(503) 594-6000
Marylhurst University (Marylhurst)	(503) 636-8141
Portland State University (Portland)	(503) 725-3000
Lewis & Clark College (Portland)	(503) 768-7000
Reed College (Portland)	(503) 771-1112
Western Oregon University (Monmouth)	(503) 838-8000
Linfield College (McMinnville)	(503) 883-2200
University of Portland (Portland)	(503) 943-8000
University of New Orleans (New Orleans)	(504) 280-6000
Dillard University (New Orleans)	(504) 283-8822
Southern University at New Orleans (New Orleans)	(504) 286-5000
Our Lady of Holy Cross College (New Orleans)	(504) 394-7744
Xavier University of Louisiana (New Orleans)	(504) 486-7411
LSU Health Sciences Center New Orleans (New Orleans)	(504) 568-8977
Delgado Community College (New Orleans)	(504) 671-5000
Loyola University New Orleans (New Orleans)	(504) 865-3240
Tulane University (New Orleans)	(504) 865-5000
Central New Mexico Community College (Albuquerque)	(505) 224-3000
University of New Mexico (Albuquerque)	(505) 277-0111
University of New Mexico School of Law (Albuquerque)	(505) 277-2146
San Juan College (Farmington)	(505) 326-3311
New Mexico Highlands University (Las Vegas)	(505) 425-7511
Santa Fe Community College (Santa Fe)	(505) 428-1000
Santa Fe University of Art and Design (Santa Fe)	(505) 473-6011
University of New Mexico–Los Alamos	(505) 662-5919
Northern New Mexico University (Española)	(505) 747-2100
Carleton College (Northfield)	(507) 222-4000
University of Minnesota Rochester (Rochester)	(507) 258-8000
Bethany Lutheran College (Mankato)	(507) 344-7000
Martin Luther College (New Ulm)	(507) 354-8221
Minnesota State University, Mankato (Mankato)	(507) 389-1866
South Central College (Mankato)	(507) 389-7200
Saint Mary's University of Minnesota (Winona)	(507) 452-4430
Winona State University (Winona)	(507) 457-5000
St. Olaf College (Northfield)	(507) 786-2222
Gustavus Adolphus College (St. Peter)	(507) 933-8000
Wheaton College (Norton)	(508) 285-7722
Bridgewater State University (Bridgewater)	(508) 531-1000
Woods Hole Oceanographic Institution	(508) 548-1400
Stonehill College (Easton)	(508) 565-1000
Framingham State University (Framingham)	(508) 620-1220
Assumption College (Worcester)	(508) 767-7000
Becker College (Worcester)	(508) 791-9241
College of the Holy Cross (Worcester)	(508) 793-2011
Clark University (Worcester)	(508) 793-7711
Massachusetts Maritime Academy (Bourne)	(508) 830-5000
Worcester Polytechnic Institute (Worcester)	(508) 831-5000
Anna Maria College (Paxton)	(508) 849-3300
Quinsigamond Community College (Worcester)	(508) 853-2300
Worcester State University (Worcester)	(508) 929-8000
University of Massachusetts Dartmouth (North Dartmouth)	(508) 999-8000
Gonzaga University (Spokane)	(509) 328-4220
Washington State University (Pullman)	(509) 335-3564
Eastern Washington University (Cheney)	(509) 359-6200
Washington State University Tri-Cities (Richland)	(509) 372-7250
Walla Walla Community College (Walla Walla)	(509) 522-2500
Whitman College (Walla Walla)	(509) 527-5111
Spokane Falls Community College (Spokane)	(509) 533-3500
Spokane Community College (Spokane)	(509) 533-7000
Columbia Basin College (Pasco)	(509) 547-0511
Whitworth University (Spokane)	(509) 777-1000
Central Washington University (Ellensburg)	(509) 963-1111
Mills College (Oakland)	(510) 430-2255
Holy Names University (Oakland)	(510) 436-1000
California College of the Arts	(510) 594-3600
University of California, Berkeley (Berkeley)	(510) 642-6000
Chabot College (Hayward)	(510) 723-6600
Laney College (Oakland)	(510) 834-5740
Samuel Merritt University (Oakland)	(510) 869-6511
California State University, East Bay (Hayward)	(510) 885-3000
Concordia University Texas (Austin)	(512) 313-3000
St. Edward's University	(512) 448-8400
University of Texas at Austin (Austin)	(512) 471-3434
Huston–Tillotson University (Austin)	(512) 505-3000
Southwestern University (Georgetown)	(512) 863-6511
Mount St. Joseph University (Cincinnati)	(513) 244-4200
Cincinnati Christian University (Cincinnati)	(513) 244-8100
Miami University (Oxford)	(513) 529-1809
University of Cincinnati (Cincinnati)	(513) 556-6000
Carl H. Lindner College of Business	(513) 556-7002
Cincinnati State Technical and Community College (Cincinnati)	(513) 569-1500
University of Cincinnati Clermont College	(513) 732-5200
Xavier University (Cincinnati)	(513) 745-3000
AIB College of Business (Des Moines)	(515) 244-4221
Des Moines Area Community College (Ankeny)	(515) 244-4226
Grand View University (Des Moines)	(515) 263-2800
Des Moines University (Des Moines)	(515) 271-1400
Drake University (Des Moines)	(515) 271-2011
Drake University Law School (Des Moines)	(515) 271-2824
Iowa State University (Ames)	(515) 294-4111
Iowa Central Community College (Fort Dodge)	(515) 576-7201
Simpson College (Indianola)	(515) 961-6251
LIU Post (Brookville)	(516) 299-2900
Long Island University (Brookville)	(516) 299-2900
Molloy College (Rockville Centre)	(516) 323-3000
Hofstra University (Hempstead)	(516) 463-6600
Nassau Community College (Garden City)	(516) 572-7501
Webb Institute (Glen Cove)	(516) 671-2213
United States Merchant Marine Academy (Kings Point)	(516) 773-5258
State University of New York at Old Westbury (Old Westbury)	(516) 876-3000
Adrian College (Adrian)	(517) 265-5161
Michigan State University (East Lansing)	(517) 355-1855
Hillsdale College (Hillsdale)	(517) 437-7341
Albion College (Albion)	(517) 629-1000
Spring Arbor University	(517) 750-1200
State University of New York at Cobleskill (Cobleskill)	(518) 255-5011
Albany Medical College (Albany)	(518) 262-3125
Rensselaer Polytechnic Institute (Troy)	(518) 276-6000
Paul Smith's College (Paul Smiths)	(518) 327-6000
Schenectady County Community College (Schenectady)	(518) 381-1200
Union College (Schenectady)	(518) 388-6000
University at Albany, SUNY (Albany)	(518) 442-3300
Albany Law School (Albany)	(518) 445-2311
State University of New York at Plattsburgh (Plattsburgh)	(518) 564-2000
Skidmore College (Saratoga Springs)	(518) 580-5000
Empire State College (Saratoga Springs)	(518) 587-2100
Hudson Valley Community College (Troy)	(518) 629-4822
Union Graduate College (Schenectady)	(518) 631-9910
Albany College of Pharmacy and Health Sciences (Albany)	(518) 694-7200
SUNY Adirondack (Queensbury)	(518) 743-2200
Siena College (Colonie)	(518) 783-2300
Pima Community College (Tucson)	(520) 206-7171
University of Arizona (Tucson)	(520) 621-2211
Simpson University (Redding)	(530) 224-5600
Butte College (Oroville)	(530) 538-5300
University of California, Davis (Davis)	(530) 752-1011
California State University, Chico (Chico)	(530) 898-4636
Virginia Tech	(540) 231-6000
Blue Ridge Community College (Weyers Cave)	(540) 234-9261
Southern Virginia University (Buena Vista city)	(540) 261-8400
Hollins University	(540) 362-6000
Roanoke College (Salem)	(540) 375-2500
Eastern Mennonite University (Harrisonburg)	(540) 432-4000
Washington and Lee University (Lexington city)	(540) 458-8400
Virginia Military Institute (Lexington city)	(540) 464-7230
James Madison University (Harrisonburg)	(540) 568-6211
Christendom College (Front Royal)	(540) 636-2900
University of Mary Washington (Fredericksburg)	(540) 654-1000
Bridgewater College (Bridgewater)	(540) 828-8000
Radford University (Radford)	(540) 831-5000
Virginia Western Community College (Roanoke)	(540) 857-8922
Mary Baldwin College (Staunton city)	(540) 887-7019
Germanna Community College (Locust Grove)	(540) 891-3000
Jefferson College of Health Sciences (Roanoke)	(540) 985-8483
Northwest Christian University (Eugene)	(541) 343-1641
University of Oregon (Eugene)	(541) 346-1000
University of Oregon School of Architecture and Allied Arts (Eugene)	(541) 346-3631
Lane Community College (Eugene)	(541) 463-3000
Southern Oregon University (Ashland)	(541) 552-7672
Oregon State University (Corvallis)	(541) 737-1000
Oregon State University College of Engineering	(541) 737-3101
Treasure Valley Community College (Ontario)	(541) 881-8822
Klamath Community College (Klamath Falls)	(541) 882-3521
Oregon Institute of Technology (Klamath Falls)	(541) 885-1000
Linn–Benton Community College (Albany)	(541) 917-4811
Rogue Community College (Grants Pass)	(541) 956-7500
Eastern Oregon University (La Grande)	(541) 962-3672
California State University, Fresno (Fresno)	(559) 278-4240
Fresno City College (Fresno)	(559) 442-4600
Fresno Pacific University (Fresno)	(559) 453-2000
Reedley College (Reedley)	(559) 638-3641
Lynn University (Boca Raton)	(561) 237-7000
Florida Atlantic University (Boca Raton)	(561) 297-3000
Palm Beach Atlantic University (West Palm Beach)	(561) 803-2000
Palm Beach State College (Lake Worth)	(561) 967-7222
Rio Hondo College (Whittier)	(562) 692-0921
Biola University (La Mirada)	(562) 903-6000
Whittier College (Whittier)	(562) 907-4238
Long Beach City College	(562) 938-4111
California State University, Long Beach (Long Beach)	(562) 985-4111
St. Ambrose University (Davenport)	(563) 333-6000
Luther College (Decorah)	(563) 387-2000
Upper Iowa University (Fayette)	(563) 425-5200
Scott Community College (Bettendorf)	(563) 441-4001
Northeast Iowa Community College (Calmar)	(563) 562-3263
Clarke University (Dubuque)	(563) 588-6300
Loras College (Dubuque)	(563) 588-7100
University of Dubuque (Dubuque)	(563) 589-3000
Owens Community College (Perrysburg)	(567) 661-7000
Lycoming College (Williamsport)	(570) 321-4000
Pennsylvania College of Technology (Williamsport)	(570) 326-3761
Marywood University (Scranton)	(570) 348-6211
Susquehanna University (Selinsgrove)	(570) 374-0101
Bloomsburg University of Pennsylvania (Bloomsburg)	(570) 389-4000
Wilkes University (Wilkes-Barre)	(570) 408-2000
East Stroudsburg University of Pennsylvania	(570) 422-3211
Lock Haven University of Pennsylvania (Lock Haven)	(570) 484-2011
Mansfield University of Pennsylvania (Mansfield)	(570) 662-4000
Misericordia University (Dallas)	(570) 674-6400
University of Scranton (Scranton)	(570) 941-7400
Lackawanna College (Scranton)	(570) 961-7810
Missouri University of Science and Technology (Rolla)	(573) 341-4111
Southeast Missouri State University (Cape Girardeau)	(573) 651-2000
University of Missouri (Columbia)	(573) 882-2121
William Woods University (Fulton)	(573) 893-7070
Saint Mary's College (Notre Dame)	(574) 284-4000
Anabaptist Mennonite Biblical Seminary	(574) 295-3726
Indiana University South Bend (South Bend)	(574) 520-4872
Goshen College (Goshen)	(574) 535-7000
University of Notre Dame (Notre Dame)	(574) 631-5000
Bethel College (Mishawaka)	(574) 807-7000
Ancilla College (Donaldson)	(574) 936-8898
New Mexico Junior College (Hobbs)	(575) 392-4510
Western New Mexico University (Silver City)	(575) 538-6011
New Mexico State University (Las Cruces)	(575) 646-0111
New Mexico Institute of Mining and Technology (Socorro)	(575) 835-5434
East Central University (Ada)	(580) 332-8000
Murray State College (Tishomingo)	(580) 371-2371
Southwestern Oklahoma State University (Weatherford)	(580) 774-3063
State University of New York at Geneseo (Geneseo)	(585) 245-5000
University of Rochester (Rochester)	(585) 275-2121
William E. Simon Graduate School of Business Administration (Rochester)	(585) 275-3533
Monroe Community College (Rochester)	(585) 292-2000
Genesee Community College (Batavia)	(585) 343-0055
St. John Fisher College (Rochester)	(585) 385-8000
Nazareth College (Rochester)	(585) 389-2525
Finger Lakes Community College (Canandaigua)	(585) 394-3500
State University of New York at Brockport (Brockport)	(585) 395-2211
Rochester Institute of Technology (Rochester)	(585) 475-2411
Houghton College (Caneadea)	(585) 567-9200
Roberts Wesleyan College (Rochester)	(585) 594-6000
Macomb Community College (Warren)	(586) 445-7999
University of Southern Mississippi (Hattiesburg)	(601) 266-1000
William Carey University (Hattiesburg)	(601) 318-6051
Hinds Community College (Raymond)	(601) 366-1405
Jones County Junior College (Ellisville)	(601) 477-4000
Meridian Community College (Meridian)	(601) 483-8241
Alcorn State University (Alcorn, Mississippi)	(601) 877-6100
Mississippi Gulf Coast Community College (Perkinston)	(601) 928-5211
Belhaven University (Jackson)	(601) 968-5940
Millsaps College (Jackson)	(601) 974-1000
Tougaloo College (Tougaloo, Mississippi)	(601) 977-7700
Jackson State University (Jackson)	(601) 979-2121
Phoenix College (Phoenix)	(602) 285-7800
Arizona Christian University (Phoenix)	(602) 489-5300
University of Phoenix (Tempe)	(602) 557-2000
Grand Canyon University (Phoenix)	(602) 639-7500
New Hampshire Technical Institute (Concord)	(603) 271-6484
Keene State College (Keene)	(603) 352-1909
New England College (Henniker)	(603) 428-2211
The College of Saint Mary Magdalen (Warner)	(603) 456-2656
Colby–Sawyer College (New London)	(603) 526-3000
Plymouth State University (Plymouth)	(603) 535-5000
Southern New Hampshire University (Manchester)	(603) 626-9100
University of New Hampshire at Manchester (Manchester)	(603) 641-4101
Saint Anselm College (Manchester)	(603) 641-7000
Dartmouth College	(603) 646-1110
University of New Hampshire	(603) 862-1234
Thomas More College of Liberal Arts (Merrimack)	(603) 880-8308
Rivier University (Nashua)	(603) 888-1311
Franklin Pierce University (Rindge)	(603) 899-4000
Dakota State University (Madison)	(605) 256-5111
Augustana College (Sioux Falls)	(605) 274-0770
University of Sioux Falls (Sioux Falls)	(605) 331-6600
South Dakota School of Mines and Technology (Rapid City)	(605) 394-2511
Northern State University (Aberdeen)	(605) 626-3011
Black Hills State University (Spearfish)	(605) 642-6343
Mount Marty College (Yankton)	(605) 668-1545
Lake Area Technical Institute (Watertown)	(605) 882-5284
University of Pikeville (Pikeville)	(606) 218-5250
Alice Lloyd College (Pippa Passes)	(606) 368-6000
Union College (Barbourville)	(606) 546-4151
Somerset Community College (Somerset)	(606) 679-8501
Cornell University (Ithaca)	(607) 254-4636
Ithaca College (Ithaca)	(607) 274-3011
Hartwick College (Oneonta)	(607) 431-4000
State University of New York at Oneonta (Oneonta)	(607) 436-3500
Alfred State College	(607) 587-4215
Elmira College (Elmira)	(607) 735-1800
State University of New York at Delhi	(607) 746-4550
State University of New York at Cortland (Cortland)	(607) 753-2011
Binghamton University (Binghamton)	(607) 777-2000
Tompkins Cortland Community College (Dryden)	(607) 844-8211
Alfred University (Alfred)	(607) 871-2175
Corning Community College (Corning)	(607) 962-9222
Madison Area Technical College (Madison)	(608) 246-6100
University of Wisconsin-Madison (Madison)	(608) 263-2400
University of Wisconsin–Platteville (Platteville)	(608) 342-1491
Beloit College	(608) 363-2000
University of Wisconsin–La Crosse (La Crosse)	(608) 785-8000
Princeton University (Princeton)	(609) 258-3000
Mercer County Community College (West Windsor Township)	(609) 586-4800
Stockton University (Galloway Township)	(609) 652-1776
The College of New Jersey (Ewing Township)	(609) 771-2131
Rider University	(609) 896-5000
DeSales University (Center Valley)	(610) 253-9999
Swarthmore College (Swarthmore)	(610) 328-8000
Lafayette College (Easton)	(610) 330-5000
Eastern University (St. Davids)	(610) 341-5800
Delaware County Community College	(610) 359-5000
Reading Area Community College (Reading)	(610) 372-4721
Penn State Berks (Reading)	(610) 396-6000
Cheyney University of Pennsylvania (Cheyney)	(610) 399-2000
Ursinus College (Collegeville)	(610) 409-3000
West Chester University of Pennsylvania (West Chester)	(610) 436-1000
Cedar Crest College (Allentown)	(610) 437-4471
Neumann University (Aston Township)	(610) 459-0905
Widener University (Chester)	(610) 499-4000
Villanova University (Villanova)	(610) 519-4500
Bryn Mawr College (Bryn Mawr)	(610) 526-5000
Rosemont College (Rosemont)	(610) 527-0200
Immaculata University (East Whiteland Township)	(610) 647-4400
Saint Joseph's University (Philadelphia)	(610) 660-1000
Kutztown University of Pennsylvania (Kutztown)	(610) 683-4000
Lehigh University (Bethlehem)	(610) 758-3000
Alvernia University (Reading)	(610) 796-8200
Lehigh Carbon Community College (North Whitehall Township)	(610) 799-2121
Moravian College (Bethlehem)	(610) 861-1300
Northampton Community College	(610) 861-5300
Haverford College (Haverford)	(610) 896-1000
Cabrini College (Radnor)	(610) 902-8100
Albright College (Reading)	(610) 921-2381
Augsburg College (Minneapolis)	(612) 330-1000
North Central University (Minneapolis)	(612) 343-4400
University of Minnesota	(612) 625-5000
Columbus College of Art and Design (Columbus)	(614) 224-9101
Capital University (Columbus)	(614) 236-6011
Ohio Dominican University (Columbus)	(614) 251-4500
Columbus State Community College (Columbus)	(614) 287-5353
Ohio State University (Columbus)	(614) 292-6446
Franklin University (Columbus)	(614) 797-4700
Otterbein University (Westerville)	(614) 890-3000
Trevecca Nazarene University (Nashville)	(615) 248-1200
Vanderbilt University Medical Center	(615) 322-5000
Vanderbilt University (Nashville)	(615) 322-7311
Meharry Medical College (Nashville)	(615) 327-6000
Fisk University (Nashville)	(615) 329-8500
Nashville State Community College (Nashville)	(615) 353-3333
Cumberland University (Lebanon)	(615) 444-2562
Volunteer State Community College (Gallatin)	(615) 452-8600
Belmont University (Nashville)	(615) 460-6000
Middle Tennessee State University (Murfreesboro)	(615) 898-2300
Tennessee State University (Nashville)	(615) 963-5000
Lipscomb University (Nashville)	(615) 966-1000
Kuyper College (Grand Rapids)	(616) 222-3000
Grand Rapids Community College (Grand Rapids)	(616) 234-4000
Grand Valley State University (Allendale Charter Township)	(616) 331-5000
Hope College (Holland)	(616) 395-7000
Calvin College (Grand Rapids)	(616) 526-6000
Aquinas College (Grand Rapids)	(616) 632-8900
Davenport University (Grand Rapids)	(616) 698-7111
Cornerstone University (Grand Rapids Charter Township)	(616) 949-5300
Bunker Hill Community College	(617) 228-2000
Massachusetts Institute of Technology (Cambridge)	(617) 253-1000
Berklee College of Music (Boston)	(617) 266-1400
University of Massachusetts Boston (Boston)	(617) 287-5000
Curry College (Milton)	(617) 333-0500
Boston University (Boston)	(617) 353-2000
Northeastern University (Boston)	(617) 373-2000
Harvard University (Cambridge)	(617) 495-1000
Simmons College (Boston)	(617) 521-2000
Boston College (Chestnut Hill)	(617) 552-8000
Suffolk University (Boston)	(617) 573-8000
Tufts University	(617) 628-5000
MCPHS University (Boston)	(617) 732-2864
Emmanuel College (Boston)	(617) 735-9715
Eastern Nazarene College (Quincy)	(617) 745-3000
Emerson College (Boston)	(617) 824-8500
Lesley University	(617) 868-9600
Wheelock College (Boston)	(617) 879-2000
Massachusetts College of Art and Design (Boston)	(617) 879-7000
Wentworth Institute of Technology (Boston)	(617) 989-4590
Southwestern Illinois College (Belleville)	(618) 235-2700
Rend Lake College (Ina)	(618) 437-5321
Southern Illinois University Carbondale (Carbondale)	(618) 453-2121
Lewis and Clark Community College (Godfrey)	(618) 468-7000
McKendree University (Lebanon)	(618) 537-4481
John A. Logan College (Carterville)	(618) 985-2828
San Diego Christian College (El Cajon)	(619) 201-8700
California Western School of Law (San Diego)	(619) 239-0391
University of San Diego (San Diego)	(619) 260-4600
San Diego Mesa College (San Diego)	(619) 388-2600
San Diego City College (San Diego)	(619) 388-3071
San Diego State University (San Diego)	(619) 594-5200
Point Loma Nazarene University (San Diego)	(619) 849-2200
Pittsburg State University (Pittsburg)	(620) 231-7000
Central Christian College of Kansas (McPherson)	(620) 241-0723
Hesston College	(620) 327-4221
Emporia State University (Emporia)	(620) 341-1200
Cowley Community College (Arkansas City)	(620) 442-0430
Hutchinson Community College (Hutchinson)	(620) 665-3500
California Institute of Technology (Pasadena)	(626) 395-6811
Fuller Theological Seminary (Pasadena)	(626) 584-5200
Pasadena City College (Pasadena)	(626) 585-7123
Citrus College (Glendora)	(626) 963-0323
Azusa Pacific University (Azusa)	(626) 969-3434
Elmhurst College (Elmhurst)	(630) 279-4100
Waubonsee Community College (Sugar Grove)	(630) 466-7900
Northern Baptist Theological Seminary (Lombard)	(630) 620-2180
North Central College (Naperville)	(630) 637-5100
Wheaton College (Wheaton)	(630) 752-5000
Benedictine University (Lisle)	(630) 829-6000
Aurora University (Aurora)	(630) 892-6431
College of DuPage	(630) 942-2800
Dowling College (Oakdale)	(631) 244-3000
Farmingdale State College (Town of Oyster Bay)	(631) 420-2000
Suffolk County Community College (Selden)	(631) 451-4110
Stony Brook University (Stony Brook)	(631) 632-6000
Touro Law Center	(631) 761-7000
St. Charles Community College (Cottleville)	(636) 922-8000
Lindenwood University (Saint Charles)	(636) 949-2000
Grinnell College (Grinnell)	(641) 269-4000
North Iowa Area Community College (Mason City)	(641) 423-1264
Waldorf College (Forest City)	(641) 585-2450
William Penn University (Oskaloosa)	(641) 673-1001
Graceland University (Lamoni)	(641) 784-5000
Baruch College (New York City)	(646) 312-1000
Stanford University (Stanford)	(650) 723-2300
William Mitchell College of Law (Saint Paul)	(651) 227-9171
Hamline University (Saint Paul)	(651) 523-2800
University of Northwestern – St. Paul (Saint Paul)	(651) 631-5100
Bethel University (Saint Paul)	(651) 638-6400
Luther Seminary (Saint Paul)	(651) 641-3456
Concordia University (Saint Paul)	(651) 641-8278
St. Catherine University (Saint Paul)	(651) 690-6000
Macalester College (Saint Paul)	(651) 696-6000
Metropolitan State University (Saint Paul)	(651) 793-1300
Opus College of Business (Minneapolis)	(651) 962-4200
University of St. Thomas (Saint Paul)	(651) 962-5000
California State University, Fullerton (Fullerton)	(657) 278-2011
Central Methodist University (Fayette)	(660) 248-3391
University of Central Missouri (Warrensburg)	(660) 543-4111
Northwest Missouri State University (Maryville)	(660) 562-1212
Truman State University (Kirksville)	(660) 785-4000
California Institute of the Arts (Valencia)	(661) 255-1050
College of the Canyons (Santa Clarita)	(661) 259-7800
California State University, Bakersfield (Bakersfield)	(661) 654-3036
Northwest Mississippi Community College (Senatobia)	(662) 236-2023
Rust College (Holly Springs)	(662) 252-8000
Mississippi Valley State University (Itta Bena)	(662) 254-9041
Mississippi State University (Starkville)	(662) 325-2323
East Mississippi Community College (Scooba)	(662) 476-8442
Delta State University (Cleveland)	(662) 846-3000
University of Mississippi (Oxford)	(662) 915-7211
Gordon State College (Barnesville)	(678) 359-5555
Georgia Gwinnett College (Lawrenceville)	(678) 407-5000
Clayton State University (Morrow)	(678) 466-4000
University of West Georgia (Carrollton)	(678) 839-5000
Georgia Perimeter College (Decatur)	(678) 891-2300
Southern Polytechnic State University (Marietta)	(678) 915-7778
Bismarck State College (Bismarck)	(701) 224-5400
North Dakota State University (Fargo)	(701) 231-8011
University of Jamestown (Jamestown)	(701) 252-3467
University of Mary (Bismarck)	(701) 355-8030
Dickinson State University (Dickinson)	(701) 483-2507
Lake Region State College (Devils Lake)	(701) 662-1600
University of North Dakota (Grand Forks)	(701) 777-3000
Mayville State University (Mayville)	(701) 788-2301
Touro University Nevada (Henderson)	(702) 777-8687
University of Nevada, Las Vegas (Las Vegas)	(702) 895-3011
Nevada State College (Henderson)	(702) 992-2000
Northern Virginia Community College (Annandale)	(703) 323-3000
Marymount University (Arlington)	(703) 522-5600
George Mason University (Fairfax)	(703) 993-1000
Rowan–Cabarrus Community College (Salisbury)	(704) 216-7222
Wingate University (Wingate)	(704) 233-8000
Central Piedmont Community College (Charlotte)	(704) 330-2722
Queens University of Charlotte (Charlotte)	(704) 337-2200
Johnson C. Smith University (Charlotte)	(704) 378-1000
Gardner–Webb University (Boiling Springs)	(704) 406-4000
Belmont Abbey College (Belmont)	(704) 461-6700
Catawba College (Salisbury)	(704) 637-4111
University of North Carolina at Charlotte (Charlotte)	(704) 687-8622
Barber–Scotia College (Concord)	(704) 789-2900
Davidson College (Davidson)	(704) 894-2000
Berry College (Mount Berry, Georgia)	(706) 232-5374
Dalton State College (Dalton)	(706) 272-4436
Shorter University (Rome)	(706) 291-2121
Columbus State University (Columbus)	(706) 507-8800
University of Georgia (Athens)	(706) 542-3000
